Id,SleepDay,TotalMinutesAsleep,TotalTimeInBed
1503960366,4/12/16,327,346
1503960366,4/13/16,384,407
1503960366,4/15/16,412,442
1503960366,4/16/16,340,367
1503960366,4/17/16,700,712
1503960366,4/19/16,304,320
1503960366,4/20/16,360,377
1503960366,4/21/16,325,364
1503960366,4/23/16,361,384
1503960366,4/24/16,430,449
1503960366,4/25/16,277,323
1503960366,4/26/16,245,274
1503960366,4/28/16,366,393
1503960366,4/29/16,341,354
1503960366,4/30/16,404,425
1503960366,5/1/16,369,396
1503960366,5/2/16,277,309
1503960366,5/3/16,273,296
1503960366,5/5/16,247,264
1503960366,5/6/16,334,367
1503960366,5/7/16,331,349
1503960366,5/8/16,594,611
1503960366,5/9/16,338,342
1503960366,5/10/16,383,403
1503960366,5/11/16,285,306
1644430081,4/29/16,119,127
1644430081,4/30/16,124,142
1644430081,5/2/16,796,961
1644430081,5/8/16,137,154
1844505072,4/15/16,644,961
1844505072,4/30/16,722,961
1844505072,5/1/16,590,961
1927972279,4/12/16,750,775
1927972279,4/13/16,398,422
1927972279,4/15/16,475,499
1927972279,4/26/16,296,315
1927972279,4/28/16,166,178
2026352035,4/12/16,503,546
2026352035,4/13/16,531,565
2026352035,4/14/16,545,568
2026352035,4/15/16,523,573
2026352035,4/16/16,524,567
2026352035,4/17/16,437,498
2026352035,4/19/16,498,540
2026352035,4/20/16,461,510
2026352035,4/21/16,477,514
2026352035,4/22/16,520,545
2026352035,4/23/16,522,554
2026352035,4/24/16,555,591
2026352035,4/25/16,506,531
2026352035,4/27/16,508,545
2026352035,4/28/16,513,545
2026352035,4/29/16,490,510
2026352035,4/30/16,573,607
2026352035,5/1/16,527,546
2026352035,5/2/16,511,543
2026352035,5/4/16,538,560
2026352035,5/5/16,468,485
2026352035,5/6/16,524,548
2026352035,5/7/16,511,521
2026352035,5/8/16,541,568
2026352035,5/9/16,531,556
2026352035,5/10/16,357,380
2026352035,5/11/16,523,553
2026352035,5/12/16,456,485
2320127002,4/23/16,61,69
2347167796,4/13/16,467,531
2347167796,4/14/16,445,489
2347167796,4/15/16,452,504
2347167796,4/17/16,556,602
2347167796,4/18/16,500,557
2347167796,4/19/16,465,514
2347167796,4/21/16,460,484
2347167796,4/22/16,405,461
2347167796,4/23/16,374,386
2347167796,4/24/16,442,459
2347167796,4/25/16,433,471
2347167796,4/26/16,436,490
2347167796,4/27/16,448,499
2347167796,4/28/16,408,450
2347167796,4/29/16,411,473
3977333714,4/12/16,274,469
3977333714,4/13/16,295,456
3977333714,4/14/16,291,397
3977333714,4/15/16,424,556
3977333714,4/16/16,283,510
3977333714,4/17/16,381,566
3977333714,4/18/16,412,522
3977333714,4/19/16,219,395
3977333714,4/20/16,152,305
3977333714,4/21/16,332,512
3977333714,4/22/16,355,476
3977333714,4/23/16,235,372
3977333714,4/24/16,310,526
3977333714,4/25/16,262,467
3977333714,4/26/16,250,371
3977333714,4/27/16,349,540
3977333714,4/28/16,261,423
3977333714,4/29/16,333,478
3977333714,4/30/16,237,382
3977333714,5/1/16,383,626
3977333714,5/2/16,230,384
3977333714,5/3/16,292,500
3977333714,5/4/16,213,336
3977333714,5/5/16,318,480
3977333714,5/6/16,323,512
3977333714,5/7/16,237,443
3977333714,5/8/16,259,456
3977333714,5/10/16,312,452
4020332650,4/12/16,501,541
4020332650,4/16/16,77,77
4020332650,5/3/16,322,332
4020332650,5/4/16,478,536
4020332650,5/5/16,226,248
4020332650,5/6/16,385,408
4020332650,5/8/16,364,402
4020332650,5/10/16,442,494
4319703577,4/14/16,535,557
4319703577,4/15/16,465,491
4319703577,4/16/16,506,522
4319703577,4/18/16,515,551
4319703577,4/19/16,461,498
4319703577,4/20/16,523,543
4319703577,4/21/16,59,65
4319703577,4/22/16,533,550
4319703577,4/23/16,692,722
4319703577,4/24/16,467,501
4319703577,4/25/16,488,506
4319703577,4/26/16,505,516
4319703577,4/27/16,286,307
4319703577,4/28/16,497,522
4319703577,4/29/16,523,546
4319703577,4/30/16,490,516
4319703577,5/1/16,484,500
4319703577,5/2/16,478,506
4319703577,5/3/16,474,512
4319703577,5/6/16,450,491
4319703577,5/7/16,507,530
4319703577,5/8/16,602,638
4319703577,5/9/16,535,565
4319703577,5/10/16,487,517
4319703577,5/11/16,529,558
4319703577,5/12/16,302,321
4388161847,4/15/16,499,526
4388161847,4/16/16,426,448
4388161847,4/17/16,619,641
4388161847,4/18/16,99,104
4388161847,4/19/16,329,338
4388161847,4/20/16,421,451
4388161847,4/21/16,442,458
4388161847,4/22/16,82,85
4388161847,4/23/16,478,501
4388161847,4/24/16,552,595
4388161847,4/26/16,319,346
4388161847,4/27/16,439,500
4388161847,4/28/16,428,458
4388161847,4/30/16,409,430
4388161847,5/1/16,547,597
4388161847,5/2/16,368,376
4388161847,5/4/16,390,414
4388161847,5/5/16,471,495
4388161847,5/5/16,471,495
4388161847,5/7/16,472,496
4388161847,5/8/16,529,541
4388161847,5/9/16,62,65
4388161847,5/10/16,354,375
4388161847,5/11/16,469,494
4445114986,4/12/16,429,457
4445114986,4/13/16,370,406
4445114986,4/14/16,441,492
4445114986,4/15/16,337,379
4445114986,4/16/16,462,499
4445114986,4/17/16,98,107
4445114986,4/19/16,388,424
4445114986,4/20/16,439,462
4445114986,4/21/16,436,469
4445114986,4/22/16,388,417
4445114986,4/25/16,328,345
4445114986,4/26/16,353,391
4445114986,4/27/16,332,374
4445114986,4/28/16,419,442
